date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:59	32720/32720	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Nov%202025%2014:27:56%20GMT	https://www.abrirestaurant.com/	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/index.html	(from )
15:27:59	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22423e-5fab74ea08445%22	https://www.abrirestaurant.com/templates/theme3666/favicon.ico	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/favicon.ico	(from https://www.abrirestaurant.com/)
15:27:59	170571/170571	---M-Z	200	added ('OK')	text/css	etag:%2229a4b-5fab74e9ede65-gzip%22	https://www.abrirestaurant.com/templates/theme3666/css/bootstrap.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/css/bootstrap.css	(from https://www.abrirestaurant.com/)
15:27:59	3693/3693	---M-Z	200	added ('OK')	text/css	etag:%22e6d-60f99fc489005-gzip%22	https://www.abrirestaurant.com/media/com_rstbox/css/engagebox.css?v=3.3.1	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/media/com_rstbox/css/engageboxacee.css	(from https://www.abrirestaurant.com/)
15:28:00	12266/12266	---M-Z	200	added ('OK')	text/css	etag:%222fea-5fab74e971e04-gzip%22	https://www.abrirestaurant.com/media/jui/css/chosen.css?676ad7366de00f340f7d4bc5310d4386	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/media/jui/css/chosend4cc.css	(from https://www.abrirestaurant.com/)
15:28:00	308675/308675	---M-Z	200	added ('OK')	text/css	etag:%224b5c3-63b0f94c8cdc0-gzip%22	https://www.abrirestaurant.com/templates/theme3666/css/template.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/css/template.css	(from https://www.abrirestaurant.com/)
15:28:00	894/894	---M-Z	200	added ('OK')	text/css	etag:%2237e-5fab74e9ecec5-gzip%22	https://www.abrirestaurant.com/templates/system/css/system.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/system/css/system.css	(from https://www.abrirestaurant.com/)
15:28:00	18656/18656	---M-Z	200	added ('OK')	text/css	etag:%2248e0-5fab74e9ede65-gzip%22	https://www.abrirestaurant.com/templates/theme3666/css/megamenu.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/css/megamenu.css	(from https://www.abrirestaurant.com/)
15:28:00	25647/25647	---M-Z	200	added ('OK')	text/css	etag:%22642f-5fab74e9c2ee5-gzip%22	https://www.abrirestaurant.com/plugins/system/t3/base-bs3/fonts/font-awesome/css/font-awesome.min.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/plugins/system/t3/base-bs3/fonts/font-awesome/css/font-awesome.min.css	(from https://www.abrirestaurant.com/)
15:28:01	37421/37421	---M-Z	200	added ('OK')	text/css	etag:%22922d-5fab74e9ede65-gzip%22	https://www.abrirestaurant.com/templates/theme3666/fonts/font-awesome/css/font-awesome.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/fonts/font-awesome/css/font-awesome.css	(from https://www.abrirestaurant.com/)
15:28:01	27013/27013	---M-Z	200	added ('OK')	text/css	etag:%226985-5fab74e9f1ce5-gzip%22	https://www.abrirestaurant.com/templates/theme3666/fonts/material-design/css/material-design.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/fonts/material-design/css/material-design.css	(from https://www.abrirestaurant.com/)
15:28:01	55736/55736	---M-Z	200	added ('OK')	text/css	etag:%22d9b8-5fab74e9f2c85-gzip%22	https://www.abrirestaurant.com/templates/theme3666/fonts/material-icons/css/material-icons.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/fonts/material-icons/css/material-icons.css	(from https://www.abrirestaurant.com/)
15:28:01	6020/6020	---M-Z	200	added ('OK')	text/css	etag:%221784-5fab74e9f4bc5-gzip%22	https://www.abrirestaurant.com/templates/theme3666/fonts/thin/css/thin.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/fonts/thin/css/thin.css	(from https://www.abrirestaurant.com/)
15:28:02	9766/9766	---M-Z	200	added ('OK')	text/css	etag:%222626-5fab74e9efda5-gzip%22	https://www.abrirestaurant.com/templates/theme3666/fonts/glyphicons/css/glyphicons.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/fonts/glyphicons/css/glyphicons.css	(from https://www.abrirestaurant.com/)
15:28:02	55221/55221	---M-Z	200	added ('OK')	text/css	etag:%22d7b5-5fab74e9efda5-gzip%22	https://www.abrirestaurant.com/templates/theme3666/fonts/linearicons/css/linearicons.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/fonts/linearicons/css/linearicons.css	(from https://www.abrirestaurant.com/)
15:28:02	74037/74037	---M-Z	200	added ('OK')	text/css	etag:%2212135-5fab74e9f3c25-gzip%22	https://www.abrirestaurant.com/templates/theme3666/fonts/mdi/css/mdi.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/fonts/mdi/css/mdi.css	(from https://www.abrirestaurant.com/)
15:28:02	0/0	---M--	200	added ('OK')	text/css	etag:%220-5fab74e9ede65%22	https://www.abrirestaurant.com/templates/theme3666/css/custom-styles.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/templates/theme3666/css/custom-styles.css	(from https://www.abrirestaurant.com/)
15:28:02	3499/3499	---M-Z	200	added ('OK')	text/css	etag:%22dab-5fab74e9a0c05-gzip%22	https://www.abrirestaurant.com/modules/mod_djimageslider/themes/default/css/djimageslider.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/modules/mod_djimageslider/themes/default/css/djimageslider.css	(from https://www.abrirestaurant.com/)
15:28:03	56686/56686	---M-Z	200	added ('OK')	text/css	etag:%22dd6e-5fab74e99ae45-gzip%22	https://www.abrirestaurant.com/modules/mod_swiper/css/animate.css	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/modules/mod_swiper/css/animate.css	(from https://www.abrirestaurant.com/)
15:28:03	97646/97646	---M-Z	200	added ('OK')	text/javascript	etag:%2217d6e-5fab74e974ce5-gzip%22	https://www.abrirestaurant.com/media/jui/js/jquery.min.js?676ad7366de00f340f7d4bc5310d4386	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/media/jui/js/jquery.mind4cc.js	(from https://www.abrirestaurant.com/)
15:28:03	21/21	---M--	200	added ('OK')	text/javascript	etag:%2215-5fab74e973d45%22	https://www.abrirestaurant.com/media/jui/js/jquery-noconflict.js?676ad7366de00f340f7d4bc5310d4386	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/media/jui/js/jquery-noconflictd4cc.js	(from https://www.abrirestaurant.com/)
15:28:03	10056/10056	---M-Z	200	added ('OK')	text/javascript	etag:%222748-5fab74e973d45-gzip%22	https://www.abrirestaurant.com/media/jui/js/jquery-migrate.min.js?676ad7366de00f340f7d4bc5310d4386	C:/Users/matpr/Desktop/site/abri/www.abrirestaurant.com/media/jui/js/jquery-migrate.mind4cc.js	(from https://www.abrirestaurant.com/)
